"Story","Title","Result","Date","Stability","Duration (s)"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a meeting successfully","SUCCESS","2022-12-14T14:21:20.767-05:00[America/Bogota]","0.0","36.9"
"user registration on page utest","user registration on page utest","FAILURE","2022-11-30T16:02:45.415-05:00[America/Bogota]","0.0","37.44"
