"Story","Title","Result","Date","Stability","Duration (s)"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a new  Bussines unit","SUCCESS","2022-12-14T15:47:00.921-05:00[America/Bogota]","0.0","43.65"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a meeting successfully","SUCCESS","2022-12-14T15:47:44.578-05:00[America/Bogota]","0.0","46.6"
