"Story","Title","Result","Date","Stability","Duration (s)"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a new  Bussines unit","SUCCESS","2022-12-14T17:03:07.648-05:00[America/Bogota]","0.0","13.53"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a meeting successfully","SUCCESS","2022-12-14T17:03:21.182-05:00[America/Bogota]","0.0","16.23"
"Academy Choucair","Search for automation course","SUCCESS","2022-12-13T13:57:53.786-05:00[America/Bogota]","0.0","8.45"
"user registration on page utest","user registration on page utest","FAILURE","2022-11-30T16:02:45.415-05:00[America/Bogota]","0.0","37.44"
