"Story","Title","Result","Date","Stability","Duration (s)"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a new  Bussines unit","SUCCESS","2022-12-14T14:20:53.291-05:00[America/Bogota]","0.0","27.47"
"As a user, I want login in the Star Sharp Page so i should create a new meetings","Create a meeting successfully","SUCCESS","2022-12-14T14:21:20.767-05:00[America/Bogota]","0.0","36.9"
"Academy Choucair","Search for automation course","SUCCESS","2022-12-13T13:57:53.786-05:00[America/Bogota]","0.0","8.45"
